Unnamed: 0,Subject,Number,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Primary Instructor,Average GPA,Median Grade,Standard Deviation,Difference,Instructor Last Name
63,ACCY,201,11,24,27,30,28,17,11,7,6,0,7,0,1,0,"Strukoff, Ryan S",3.11,B+,0.77,-0.51,Strukoff
64,ACCY,201,5,22,11,9,8,8,4,2,3,0,2,0,2,0,"McConnell, Kelly R",3.21,A-,0.77,-0.39,McConnell
65,ACCY,201,44,32,30,20,12,12,4,0,4,0,0,0,0,0,"Grubb, Elizabeth A",3.57,A-,0.56,-0.13,Grubb
66,ACCY,201,38,52,51,21,32,21,7,4,6,0,2,0,0,0,"Schertz, Michael K",3.44,A-,0.65,-0.08,Schertz
67,ACCY,201,3,11,3,3,4,12,1,4,6,0,3,0,7,0,"Christiansen, Ryan S",2.53,B-,0.93,-0.82,Christiansen
68,ACCY,201,10,23,17,7,8,7,3,1,2,0,0,0,0,0,"Patzik, Benjamin M",3.5,A-,0.61,-0.27,Patzik
69,ACCY,201,1,11,11,14,13,7,6,2,5,0,2,0,1,1,"McNamara, Sean M",3.03,B+,0.75,-0.56,McNamara
70,ACCY,201,10,10,20,7,8,7,3,0,0,0,3,0,1,2,"Koziel, Mark C",3.32,A-,0.71,0.13,Koziel
71,ACCY,201,28,28,27,14,9,13,7,2,10,0,7,0,3,0,"Leman, Grant W",3.21,A-,0.87,-0.61,Leman
72,ACCY,201,38,32,40,10,14,16,2,0,2,0,6,0,0,0,"Spread, Samuel C",3.49,A-,0.71,-0.21,Spread
73,ACCY,201,9,16,15,14,6,7,6,0,2,0,0,0,0,1,"Sothikhoun, Alain R",3.41,A-,0.61,-0.06,Sothikhoun
74,ACCY,201,3,6,19,17,14,7,7,3,4,0,0,0,0,1,"Doub, James D",3.15,B+,0.63,-0.43,Doub
75,ACCY,201,6,11,9,6,4,7,5,2,2,0,0,0,4,2,"Kiesewetter, Nathalie A",3.05,B+,0.72,-0.04,Kiesewetter
76,ACCY,201,10,12,20,10,6,5,1,4,2,0,3,0,2,0,"Storto, Joseph M",3.24,A-,0.78,0.04,Storto
77,ACCY,201,9,6,10,6,5,5,3,6,2,0,5,0,2,0,"Coady, Jennifer J",2.92,B+,0.94,-0.4,Coady
78,ACCY,201,6,7,7,6,5,12,3,4,3,0,1,0,3,1,"Wojnarowski, Michelle L",2.91,B,0.77,-0.22,Wojnarowski
79,ACCY,201,1,5,13,20,9,11,8,4,3,0,3,0,1,0,"Zhao, Weiran",2.94,B+,0.72,-0.56,Zhao
