Years,Term,Subject,Number,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Primary Instructor,Average GPA,Median Grade,Standard Deviation,Instructor Last Name
2022,Fall,AAS,100,0,23,8,6,5,1,0,1,0,0,0,0,1,0,"Zheng, Reanne",3.58,A,0.46,Zheng
2022,Fall,AAS,100,17,4,0,0,0,0,0,0,0,0,0,0,2,1,"Mukhopadhyay, Anirban",3.65,A+,0.33,Mukhopadhyay
2022,Fall,AAS,100,0,38,6,2,1,1,0,0,0,0,0,0,1,0,"Shin, Jeongsu",3.8,A,0.29,Shin
2022,Fall,AAS,100,2,15,3,2,0,0,0,0,0,0,0,0,1,0,"Lee, Sabrina Y",3.72,A,0.27,Lee
2022,Fall,AAS,100,0,32,8,6,0,1,1,0,0,0,0,0,1,0,"Wang, Yu",3.72,A,0.36,Wang
2022,Fall,ACCY,200,17,78,39,25,20,30,16,10,6,2,1,1,2,1,"Silhan, Peter A",3.31,A-,0.73,Silhan
2022,Fall,ACCY,201,68,114,76,47,49,35,21,21,28,6,11,15,13,5,"Fisher, Mitchell B",3.12,A-,0.92,Fisher
2022,Fall,ACCY,202,43,78,22,32,48,17,12,13,11,0,1,0,1,3,"Shapland, Julia P",3.36,A-,0.71,Shapland
2022,Fall,ACCY,301,9,13,9,7,5,0,4,1,1,0,0,0,0,0,"Johnson, Jennifer A",3.52,A-,0.61,Johnson
2022,Fall,ACCY,301,16,11,11,11,6,6,10,0,2,1,0,0,0,1,"Anderson, Spencer B",3.34,A-,0.7,Anderson
2022,Fall,ACCY,302,7,14,13,13,7,8,7,4,2,1,3,0,0,0,"Curtis, Susan M",3.16,B+,0.82,Curtis
2022,Fall,ACCY,302,12,20,9,9,16,8,5,1,0,0,0,0,1,0,"Samet, Jordan A",3.38,A-,0.58,Samet
2022,Fall,ACCY,303,24,10,8,12,5,1,6,4,5,1,1,0,0,0,"Pachera, Susan",3.32,A-,0.83,Pachera
2022,Fall,ACCY,303,6,11,8,10,7,4,2,1,1,1,0,1,0,0,"Godsell, David",3.32,B+,0.74,Godsell
2022,Fall,ACCY,304,0,23,5,1,13,4,2,6,1,0,0,0,0,0,"Williamson, Michael",3.3,A-,0.73,Williamson
2022,Fall,ACCY,304,9,17,12,13,17,5,0,7,1,0,0,0,0,0,"Dahle, Andrew J",3.35,B+,0.63,Dahle
2022,Fall,ACCY,312,12,9,1,10,8,0,3,5,0,0,0,0,0,1,"Vuong, Anh",3.37,B+,0.68,Vuong
2022,Fall,ACCY,312,0,22,0,1,15,0,0,6,0,0,0,0,2,1,"Holder, Charles B",3.22,B+,0.71,Holder
2022,Fall,ACCY,312,15,6,4,4,5,10,2,1,0,0,0,0,0,0,"Penn, Michael W",3.41,A-,0.62,Penn
2022,Fall,ACCY,405,3,19,4,1,3,3,1,1,0,0,0,0,0,0,"Rogowski, Edward J",3.64,A,0.57,Rogowski
2022,Fall,ACCY,405,0,13,20,13,12,3,1,2,1,0,1,0,0,1,"Thompson, Anne M",3.36,A-,0.6,Thompson
2022,Fall,ACCY,405,2,55,13,15,11,4,1,2,1,0,0,0,1,0,"Kink, Dawn M",3.59,A,0.52,Kink
2022,Fall,ACCY,410,7,25,13,10,10,10,4,3,3,0,1,0,0,0,"Kustanovich, Michael",3.34,A-,0.72,Kustanovich
2022,Fall,ACCY,410,2,14,19,21,8,9,2,1,4,0,1,0,0,1,"Ibrahim, Adel Nematallah",3.28,B+,0.65,Ibrahim
2022,Fall,ACCY,451,0,37,0,0,14,0,0,7,5,0,0,0,1,0,"Holder, Charles B",3.32,A,0.83,Holder
2022,Fall,ACCY,451,2,10,18,18,8,1,2,2,1,0,2,0,0,0,"Beardsley, Erik L",3.33,B+,0.66,Beardsley
2022,Fall,ACCY,500,19,9,8,4,1,0,0,2,0,2,0,0,0,0,"Augusto Sampaio, Gerlando",3.65,A,0.67,Augusto Sampaio
2022,Fall,ACCY,500,580,211,78,39,17,3,3,1,1,0,0,0,4,3,"Urcan, Oktay",3.9,A+,0.25,Urcan
2022,Fall,ACCY,501,21,45,35,44,34,12,13,8,2,3,0,0,5,1,"Augusto Sampaio, Gerlando",3.27,B+,0.63,Augusto Sampaio
2022,Fall,ACCY,502,6,54,18,9,9,5,2,2,1,1,1,0,0,1,"Schwartz, Rachel",3.6,A,0.62,Schwartz
2022,Fall,ACCY,502,14,25,14,11,6,5,5,6,1,1,1,0,0,0,"Mendoza, Scott A",3.4,A-,0.74,Mendoza
2022,Fall,ACCY,503,179,408,225,123,72,47,13,17,8,2,2,2,18,2,"Chen, Xiaoling",3.59,A,0.52,Chen
2022,Fall,ACCY,503,2,12,7,9,11,4,3,6,0,0,0,0,8,0,"Zhang, Li",2.81,B,0.72,Zhang
2022,Fall,ACCY,503,22,44,0,3,2,1,1,0,0,0,1,0,0,0,"Herbold, T J",3.86,A,0.46,Herbold
2022,Fall,ACCY,504,43,136,72,41,132,5,0,1,0,0,0,0,0,0,"Peecher, Mark E",3.55,A-,0.45,Peecher
2022,Fall,ACCY,504,0,40,29,21,4,3,2,2,0,0,0,0,0,0,"Rozario, Andrea M",3.61,A-,0.45,Rozario
2022,Fall,ACCY,505,47,136,68,63,47,37,11,8,0,1,0,0,7,0,"Hutchens, Matthew",3.47,A-,0.54,Hutchens
2022,Fall,ACCY,505,1,35,11,19,16,3,4,1,0,0,0,0,0,0,"Alt, Amanda J",3.5,A-,0.51,Alt
2022,Fall,ACCY,510,20,61,0,7,7,4,0,0,0,0,0,0,0,0,"Steward, Cynthia G",3.83,A,0.38,Steward
2022,Fall,ACCY,512,20,64,8,1,2,0,0,0,0,0,0,0,0,0,"Lu, Zhenzhong L",3.94,A,0.18,Lu
2022,Fall,ACCY,515,0,25,14,13,25,4,0,0,0,0,1,0,0,0,"Zhou, Yuepin",3.43,B+,0.52,Zhou
2022,Fall,ACCY,517,1,9,7,0,5,0,0,2,0,0,0,0,0,0,"Li, Yue",3.53,A-,0.59,Li
2022,Fall,ACCY,517,0,17,29,9,4,2,0,0,0,0,0,0,0,1,"Hamm, Brian K",3.64,A-,0.33,Hamm
2022,Fall,ACCY,518,55,6,1,2,0,0,0,0,0,0,0,0,0,0,"Nekrasz, Frank",3.97,A+,0.12,Nekrasz
2022,Fall,ACCY,570,32,26,4,2,0,0,0,0,0,0,0,0,0,0,"Lu, Zhenzhong L",3.96,A+,0.14,Lu
2022,Fall,ACCY,570,14,69,7,3,8,2,0,0,0,0,0,0,0,0,"Anand, Vic",3.85,A,0.33,Anand
2022,Fall,ACCY,570,17,10,0,0,3,0,0,0,0,0,1,0,0,0,"Herbold, T J",3.81,A+,0.59,Herbold
2022,Fall,ACE,100,18,9,6,4,6,4,4,5,4,1,2,1,1,0,"Reed, Caleb N",3.11,A-,0.95,Reed
2022,Fall,ACE,100,14,10,9,4,5,5,3,6,1,0,1,3,1,0,"Hadunka, Protensia",3.13,A-,0.95,Hadunka
2022,Fall,ACE,100,6,5,3,2,4,2,3,0,0,0,1,0,0,1,"Kalaitzandonake, Maria H",3.35,A-,0.76,Kalaitzandonake
2022,Fall,ACE,161,0,27,0,0,19,0,0,5,0,0,1,0,2,0,"Lo, Alexander C",3.26,A,0.73,Lo
2022,Fall,ACE,161,0,62,0,0,27,0,0,14,0,0,1,0,3,1,"Burnett, Meghan L",3.35,A,0.75,Burnett
2022,Fall,ACE,199,50,19,2,5,1,0,1,0,0,0,2,1,1,0,"Stoddard, Paul B",3.76,A+,0.63,Stoddard
2022,Fall,ACE,199,31,9,0,0,1,0,0,0,0,0,0,0,0,0,"Irani, Kaizad R",3.98,A+,0.15,Irani
2022,Fall,ACE,240,2,14,5,6,4,1,2,3,0,1,0,0,0,0,"Sanchez, Donovan",3.39,A-,0.72,Sanchez
2022,Fall,ACE,240,476,125,0,0,53,0,0,16,0,0,6,0,13,2,"Lemoine, Craig",3.78,A+,0.48,Lemoine
2022,Fall,ACE,341,4,28,1,0,4,0,0,2,0,0,0,0,0,0,"Helton, Caroline A",3.79,A,0.51,Helton
2022,Fall,ACE,341,21,29,7,2,3,1,0,0,0,0,1,0,0,0,"Karplus, Lauren E",3.83,A,0.46,Karplus
2022,Fall,ACE,341,43,7,0,0,2,0,0,0,0,0,0,0,0,0,"Kuebler, Jacob D",3.96,A+,0.19,Kuebler
2022,Fall,ACES,101,13,11,2,0,1,1,0,0,1,0,0,1,0,0,"Knepp, Aleksi R",3.71,A,0.75,Knepp
2022,Fall,ACES,101,11,11,0,1,0,0,1,0,1,0,1,0,0,0,"Schnitkey, Gary D",3.71,A,0.77,Schnitkey
2022,Fall,ACES,101,24,18,3,2,0,1,1,0,0,0,0,0,1,0,"Edmonds, Devin A",3.81,A,0.33,Edmonds
2022,Fall,ACES,101,15,4,3,0,0,0,1,0,0,0,0,0,0,0,"Bohn, Martin O",3.88,A+,0.35,Bohn
2022,Fall,ACES,101,19,15,1,2,0,2,2,0,0,0,3,1,0,0,"Schneider, Alicia M",3.56,A,0.93,Schneider
2022,Fall,ACES,101,11,4,3,2,1,0,0,0,0,0,0,0,0,0,"Honegger, Logan J",3.84,A+,0.28,Honegger
2022,Fall,ACES,101,35,18,2,1,0,0,1,1,0,0,1,0,0,0,"Elmore, Ailie C",3.86,A+,0.51,Elmore
2022,Fall,ACES,101,29,10,4,0,1,0,1,0,0,0,0,0,0,0,"Emmert, Jason L",3.91,A+,0.29,Emmert
2022,Fall,ACES,179,10,25,16,7,6,2,1,0,2,0,0,0,3,1,"Reid, Debra A",3.49,A-,0.53,Reid
2022,Fall,ADV,150,48,22,0,0,2,0,1,2,0,0,1,0,1,0,"Arreazola, Catherine J",3.81,A+,0.52,Arreazola
2022,Fall,ADV,150,43,23,2,0,5,0,0,2,0,1,1,0,1,0,"Faisal, Naufil B",3.75,A+,0.58,Faisal
2022,Fall,ADV,150,27,30,1,1,12,0,0,2,1,0,0,0,5,0,"Wang, Yanyun",3.5,A,0.56,Wang
2022,Fall,ADV,150,33,33,0,1,5,0,0,3,1,0,1,0,1,0,"Lee, Yujin",3.73,A,0.6,Lee
2022,Fall,ADV,281,4,4,5,9,5,11,2,2,6,1,0,0,1,0,"Rahman, Nisa P",2.89,B,0.76,Rahman
2022,Fall,ADV,283,0,43,4,2,1,1,0,1,0,0,0,1,0,0,"Zhang, Shiyue",3.81,A,0.57,Zhang
2022,Fall,ADV,283,0,46,4,2,3,1,0,2,0,0,0,0,1,0,"Park, Se Il",3.75,A,0.46,Park
2022,Fall,ADV,284,0,12,13,13,4,7,0,0,1,1,0,0,3,0,"Liu, Weizi",3.2,B+,0.59,Liu
2022,Fall,ADV,284,0,30,14,4,1,2,0,0,1,1,0,0,0,0,"Chung, Un Chae",3.7,A,0.54,Chung
2022,Fall,ADV,460,0,24,11,6,12,2,1,2,2,0,0,0,0,0,"Lee, Dongchan",3.46,A-,0.62,Lee
2022,Fall,ADV,460,0,15,19,8,7,4,1,2,1,0,1,0,0,0,"Kim, Woo Jin",3.4,A-,0.64,Kim
2022,Fall,ADV,483,2,9,18,13,9,6,1,2,1,0,0,0,0,0,"Wise, Kevin R",3.35,B+,0.54,Wise
2022,Fall,ADV,483,0,11,5,3,7,3,1,0,0,0,0,0,0,0,"Ray, Rik",3.46,A-,0.52,Ray
2022,Fall,AE,100,27,42,7,1,2,1,0,0,0,0,0,0,1,0,"Wroblewski, Gabrielle E",3.87,A,0.24,Wroblewski
2022,Fall,AE,140,10,35,16,3,4,7,2,1,0,0,0,1,9,0,"Laystrom-Woodar, Julia K",3.26,A,0.67,Laystrom-Woodar
2022,Fall,AE,442,0,17,8,8,20,7,7,12,2,0,4,0,1,0,"Lembeck, Michael F",2.91,B,0.81,Lembeck
2022,Fall,AE,498,6,11,2,3,3,0,1,0,0,0,0,0,0,0,"Ansell, Phillip J",3.72,A,0.45,Ansell
2022,Fall,AE,498,1,7,3,4,6,1,0,0,0,0,0,0,0,0,"Panerai, Francesco",3.5,A-,0.45,Panerai
2022,Fall,AFRO,101,0,13,13,16,8,0,0,1,2,0,0,0,1,0,"McDuffie, Erik S",3.38,B+,0.53,McDuffie
2022,Fall,AIS,285,7,14,4,0,0,0,0,0,0,0,3,0,0,0,"Maldonado, Korinta",3.63,A,0.92,Maldonado
2022,Fall,ANSC,100,0,123,4,0,37,0,0,9,0,0,2,0,1,1,"Harsh, Bailey N",3.62,A,0.63,Harsh
2022,Fall,ANSC,250,100,140,22,11,10,10,2,5,2,1,2,2,3,2,"Richardson, Sarah D",3.73,A,0.58,Richardson
2022,Fall,ANSC,422,0,39,0,0,26,0,0,9,0,0,7,0,5,1,"Swanson, Kelly S",3.01,B,0.94,Swanson
2022,Fall,ANSC,424,0,31,0,0,17,0,0,4,0,0,1,0,0,0,"Cattai de Godoy, Maria Re",3.47,A,0.72,Cattai de Godoy
2022,Fall,ANTH,102,0,50,0,2,6,0,2,3,1,0,4,0,8,0,"Sgheiza, Valerie",3.17,A,0.9,Sgheiza
2022,Fall,ANTH,103,6,7,1,4,1,1,0,0,0,0,0,0,2,0,"Rivera, Bryana M",3.39,A,0.5,Rivera
2022,Fall,ANTH,103,1,3,0,2,4,0,5,2,4,0,0,0,0,0,"Doubles, Catherine Z",2.71,C+,0.81,Doubles
2022,Fall,ANTH,103,3,13,6,8,10,2,3,1,0,0,0,0,0,0,"Coyle, Joseph A",3.41,B+,0.56,Coyle
2022,Fall,ANTH,246,118,284,24,28,39,8,10,25,4,5,8,2,30,2,"Jelinek, Petra",3.46,A,0.71,Jelinek
2022,Fall,ARCH,321,3,62,9,9,12,1,3,4,1,0,3,0,0,0,"Bollo, Christina S",3.56,A,0.72,Bollo
2022,Fall,ASTR,100,80,126,67,50,48,21,14,16,20,8,9,11,57,1,"Winans, Amanda",2.96,A-,0.91,Winans
2022,Fall,BADM,210,3,259,73,32,44,18,9,10,3,1,4,0,1,0,"Larson, Eric",3.62,A,0.59,Larson
2022,Fall,BADM,211,21,8,4,4,1,3,0,0,0,0,0,0,0,2,"Song, Xueze",3.78,A+,0.4,Song
2022,Fall,BADM,211,0,29,2,2,4,3,1,1,0,0,0,0,0,0,"Hao, Shuai",3.67,A,0.55,Hao
2022,Fall,BADM,211,71,6,3,2,2,1,2,1,0,0,0,0,1,0,"Liu, Zilong",3.83,A+,0.39,Liu
2022,Fall,BADM,211,33,11,16,10,8,4,4,0,0,0,0,1,0,1,"Moshref Javadi, Mohammad",3.59,A,0.58,Moshref Javadi
2022,Fall,BADM,211,0,68,5,7,6,0,2,0,1,0,0,0,0,0,"Ahsen, Mehmet E",3.8,A,0.44,Ahsen
2022,Fall,BADM,211,4,18,2,0,1,3,0,2,2,1,0,0,1,0,"Zhao, Tiancheng",3.38,A,0.84,Zhao
2022,Fall,BADM,211,19,13,2,4,2,3,0,1,0,0,0,0,1,0,"Khandelwal, Ashish",3.66,A,0.49,Khandelwal
2022,Fall,BADM,275,0,34,10,5,2,1,0,1,0,1,0,1,0,0,"Baddam, Swathi Reddy",3.67,A,0.65,Baddam
2022,Fall,BADM,275,5,70,15,8,3,1,0,0,1,0,0,0,0,0,"Wang, Yixin",3.84,A,0.35,Wang
2022,Fall,BADM,275,19,33,6,2,0,0,0,0,0,0,0,0,0,0,"Liang, Hongyan",3.94,A,0.15,Liang
2022,Fall,BADM,275,6,36,14,1,1,0,1,0,0,0,0,0,0,0,"Hu, Junqi",3.87,A,0.28,Hu
2022,Fall,BADM,275,20,47,29,8,8,1,4,0,0,0,0,0,0,0,"Kirci, Ismail",3.74,A,0.41,Kirci
2022,Fall,BADM,300,144,61,24,7,12,0,7,5,2,0,1,0,4,1,"Wright, Margaret",3.74,A+,0.5,Wright
2022,Fall,BADM,300,50,111,30,24,28,18,5,2,2,1,2,1,0,2,"Warnick, Emerson T",3.61,A,0.61,Warnick
2022,Fall,BADM,310,535,132,37,17,20,6,3,7,4,0,0,1,4,0,"White, Judith B",3.87,A+,0.37,White
2022,Fall,BADM,311,14,23,27,19,17,6,3,3,0,0,0,0,0,1,"Gupta, Pranav",3.49,A-,0.52,Gupta
2022,Fall,BADM,312,0,42,16,14,5,1,0,0,1,0,0,0,0,0,"Khessina, Olga",3.7,A,0.41,Khessina
2022,Fall,BADM,314,20,7,3,0,1,1,1,1,0,0,0,1,0,0,"Ybarra, Oscar",3.71,A+,0.72,Ybarra
2022,Fall,BADM,320,72,198,38,27,44,2,4,1,1,0,3,0,1,0,"Liu, Yunchuan",3.74,A,0.47,Liu
2022,Fall,BADM,320,220,169,40,38,33,9,6,8,0,1,1,1,2,0,"Wolters, Mark E",3.76,A,0.48,Wolters
2022,Fall,BADM,322,7,92,11,4,0,1,1,0,0,0,1,0,0,0,"Kim, Myoung Hee",3.89,A,0.36,Kim
2022,Fall,BADM,323,4,9,0,1,6,1,0,0,0,0,0,0,0,0,"Kim, Sahoon",3.62,A,0.5,Kim
2022,Fall,BADM,325,60,13,8,6,2,0,1,1,0,0,0,1,0,2,"Lim, Sarah",3.83,A+,0.48,Lim
2022,Fall,BADM,350,9,15,5,4,2,0,0,0,0,0,0,0,0,1,"Basu, Saunak",3.82,A,0.3,Basu
2022,Fall,BADM,350,5,30,44,13,8,0,0,0,0,0,0,0,0,1,"Subramanyam, Ramanath",3.69,A-,0.3,Subramanyam
2022,Fall,BADM,352,2,29,4,2,0,0,0,1,0,0,0,0,0,0,"Pamuksuz, Utku",3.88,A,0.35,Pamuksuz
2022,Fall,BADM,353,2,63,40,15,4,2,1,0,0,0,0,0,0,1,"Haran, Vidya",3.75,A,0.33,Haran
2022,Fall,BADM,367,0,91,6,2,0,0,0,0,0,0,0,0,0,0,"Corredor Waldro, Sandra T",3.97,A,0.12,Corredor Waldro
2022,Fall,BADM,375,36,52,15,4,2,3,0,0,0,0,0,0,1,0,"Liang, Hongyan",3.84,A,0.29,Liang
2022,Fall,BADM,449,4,35,22,6,6,5,0,1,0,0,0,0,0,0,"Mahoney, Joseph T",3.67,A-,0.44,Mahoney
2022,Fall,BADM,449,2,15,7,5,3,1,1,2,1,0,1,0,0,0,"Pedraza Novak, Daniela",3.45,A-,0.75,Pedraza Novak
2022,Fall,BADM,449,0,6,21,10,2,2,0,0,0,0,0,0,0,0,"Schijven, Mario P",3.55,A-,0.32,Schijven
2022,Fall,BADM,449,2,18,14,12,14,7,9,2,0,0,0,0,0,0,"Kim, June-Young",3.29,B+,0.59,Kim
2022,Fall,BADM,449,2,20,8,6,3,0,1,0,0,0,0,0,0,0,"Huang, Der-Ting",3.72,A,0.39,Huang
2022,Fall,BADM,449,0,67,36,12,3,1,0,0,0,0,0,1,0,0,"Chattopadhyay, Shinjinee",3.77,A,0.4,Chattopadhyay
2022,Fall,BADM,502,1,68,12,2,1,1,0,1,1,1,0,0,0,0,"Larson, Eric",3.83,A,0.47,Larson
2022,Fall,BADM,508,710,151,53,20,24,11,3,7,8,3,3,3,17,8,"Loyd, Denise L",3.8,A+,0.45,Loyd
2022,Fall,BADM,508,6,22,16,12,26,6,0,0,0,0,0,0,0,0,"Boynton, Dylan",3.46,A-,0.46,Boynton
2022,Fall,BADM,509,199,475,172,97,70,35,10,7,4,0,2,2,20,2,"Bednar, Michael K",3.66,A,0.47,Bednar
2022,Fall,BADM,513,0,82,1,1,2,0,0,1,0,0,0,0,0,0,"Noonan, James R",3.94,A,0.27,Noonan
2022,Fall,BADM,514,0,36,27,12,1,2,0,0,0,0,0,0,0,0,"Takeda, Yusaku",3.74,A-,0.31,Takeda
2022,Fall,BADM,520,345,442,119,35,12,4,1,0,0,0,0,0,4,1,"Noel, Hayden N",3.9,A,0.21,Noel
2022,Fall,BADM,550,0,82,3,1,2,0,0,0,0,0,0,0,1,0,"Noonan, James R",3.91,A,0.18,Noonan
2022,Fall,BADM,554,2,21,13,16,10,7,2,2,1,0,0,0,0,0,"Sachdev, Vishal",3.41,B+,0.57,Sachdev
2022,Fall,BADM,566,35,43,10,3,0,0,0,0,0,0,0,0,0,0,"Seshadri, Sridhar",3.94,A,0.15,Seshadri
2022,Fall,BADM,567,7,48,21,9,6,0,0,1,0,0,0,0,0,0,"Anand, Gopesh J",3.77,A,0.35,Anand
2022,Fall,BADM,567,0,13,31,20,7,4,0,0,0,0,0,0,0,0,"Scott, Nehemiah",3.52,A-,0.35,Scott
2022,Fall,BADM,572,41,190,71,80,88,38,35,17,7,3,4,0,20,11,"Taghaboni-Dutta, Fataneh",3.29,A-,0.66,Taghaboni-Dutta
2022,Fall,BADM,590,17,14,6,4,3,4,0,0,0,0,0,0,0,0,"Narang, Unnati",3.73,A,0.43,Narang
2022,Fall,BCOG,100,4,14,0,3,6,0,0,3,0,0,0,0,1,0,"Lai, Melinh",3.42,A,0.65,Lai
2022,Fall,BCOG,100,2,13,0,4,8,0,0,3,0,0,1,0,3,0,"Yang, Runhan",3.07,B+,0.79,Yang
2022,Fall,BDI,513,8,6,2,4,1,0,0,0,0,0,0,0,0,0,"Bushell, Colleen B",3.79,A,0.32,Bushell
2022,Fall,BIOE,498,16,27,6,1,1,0,0,0,0,0,0,0,0,0,"Smith, Andrew M",3.93,A,0.19,Smith
2022,Fall,BIOE,498,0,40,1,1,0,0,0,0,0,0,0,0,0,0,"Dobrucki, Wawrzyniec",3.98,A,0.11,Dobrucki
2022,Fall,BIOP,401,15,19,9,4,5,0,0,0,0,0,0,0,0,0,"Wu, Nicholas Ching",3.8,A,0.33,Wu
2022,Fall,BTW,250,0,8,6,5,3,0,0,0,0,0,0,0,0,0,"Hudek, Barry A",3.62,A-,0.35,Hudek
2022,Fall,BTW,250,0,38,11,15,3,0,0,0,0,0,1,0,0,0,"McGuire, Lee",3.71,A,0.46,McGuire
2022,Fall,BTW,250,10,7,3,0,0,1,0,1,0,0,0,0,0,0,"Short, Cassidy L",3.8,A,0.49,Short
2022,Fall,BTW,250,3,2,7,3,0,1,0,0,1,0,0,0,4,0,"Selznick, Hilary F",2.86,A-,0.79,Selznick
2022,Fall,BTW,250,0,38,1,2,0,0,1,0,0,0,0,1,1,0,"Moss, Andrew P",3.76,A,0.57,Moss
2022,Fall,BTW,250,0,37,3,1,2,1,1,0,0,0,0,0,2,1,"Bowman, Andrew J",3.69,A,0.4,Bowman
2022,Fall,BTW,250,0,22,0,0,0,1,0,0,0,0,0,0,0,0,"Kovanen, Bruce H",3.94,A,0.27,Kovanen
2022,Fall,BTW,250,5,27,15,6,9,1,0,1,0,0,0,1,0,0,"Hapke, Gail L",3.62,A-,0.57,Hapke
2022,Fall,BUS,101,0,452,37,19,8,1,3,1,0,1,0,2,0,1,"Barbeau, Aimee",3.9,A,0.34,Barbeau
2022,Fall,BUS,201,0,151,8,4,1,0,0,0,0,0,0,0,0,0,"Kim, Heejin",3.96,A,0.14,Kim
2022,Fall,BUS,201,0,90,14,3,1,1,0,0,0,0,0,0,0,0,"Sanchez, Carmen J",3.92,A,0.21,Sanchez
2022,Fall,BUS,201,24,29,1,1,0,0,0,0,0,0,0,0,0,0,"Luckman, Elizabeth",3.98,A,0.1,Luckman
2022,Fall,BUS,301,5,81,7,2,0,0,0,0,0,0,2,0,0,0,"Keating, Kari H",3.9,A,0.44,Keating
2022,Fall,BUS,301,18,23,3,1,1,0,0,0,0,0,0,0,0,0,"Swenddal, Heather J",3.94,A,0.19,Swenddal
2022,Fall,BUS,301,7,80,4,1,1,3,0,0,0,0,0,0,0,0,"Ji, Mingshuang",3.93,A,0.26,Ji
2022,Fall,BUS,401,0,410,19,7,10,2,2,0,1,0,0,0,1,0,"Martinez, Candace A",3.93,A,0.25,Martinez
2022,Fall,CHBE,221,0,14,2,2,10,2,9,8,1,0,5,0,1,1,"Higdon, Jonathan J",2.76,B,0.94,Higdon
2022,Fall,CHEM,101,14,58,32,46,42,27,25,36,22,14,8,4,25,4,"McCarren, Elise M",2.7,B,0.9,McCarren
2022,Fall,CHEM,101,6,71,36,55,96,45,44,49,26,18,8,6,32,2,"Leveritt, John M",2.67,B,0.83,Leveritt
2022,Fall,CHEM,102,42,42,33,57,91,66,111,59,41,34,12,3,11,1,"Hummel, Thomas J",2.66,B-,0.82,Hummel
2022,Fall,CHEM,102,7,76,65,104,57,37,81,67,61,14,8,13,12,5,"Huang, Tina H",2.74,B,0.87,Huang
2022,Fall,CHEM,102,23,52,48,60,76,69,97,80,51,25,19,2,12,3,"Gunasekera, Mutha Merenna",2.63,B-,0.83,Gunasekera
2022,Fall,CHEM,102,2,5,0,4,3,5,4,4,3,0,0,3,0,2,"Marville, Kelly",2.67,B-,0.98,Marville
2022,Fall,CHEM,104,14,23,25,33,50,33,42,60,47,5,7,3,15,6,"Ray, Christian R",2.52,C+,0.81,Ray
2022,Fall,CHEM,104,8,22,17,25,41,30,22,32,29,15,18,10,6,6,"Andino Martinez, Jose G",2.46,B-,0.94,Andino Martinez
2022,Fall,CHEM,150,40,19,4,2,2,0,0,0,0,0,0,0,0,0,"Powers, Kimberly",3.93,A+,0.21,Powers
2022,Fall,CHEM,199,100,282,8,8,3,5,0,1,2,0,0,0,3,2,"McCarren, Elise M",3.91,A,0.27,McCarren
2022,Fall,CHEM,203,11,53,28,23,12,6,5,6,2,0,2,1,2,2,"Andino Martinez, Jose G",3.42,A-,0.69,Andino Martinez
2022,Fall,CHEM,232,54,118,54,75,68,59,44,61,33,24,25,8,23,15,"Axelson, Jordan C",2.85,B,0.94,Axelson
2022,Fall,CHEM,233,385,50,17,12,13,0,2,2,1,0,0,0,3,1,"Formigao Gameir, Armanda",3.9,A+,0.28,Formigao Gameir
2022,Fall,CHEM,442,23,24,6,3,1,3,1,1,0,1,0,0,1,1,"Hirata, So",3.7,A,0.54,Hirata
2022,Fall,CHLH,100,8,8,0,0,2,1,0,1,0,1,0,0,0,0,"Yarnot, Rebecca K",3.62,A,0.75,Yarnot
2022,Fall,CHLH,100,25,114,99,42,32,18,11,6,7,6,1,3,13,0,"Trask, Jeffrey T",3.35,A-,0.68,Trask
2022,Fall,CHLH,101,0,253,0,0,115,0,0,34,0,0,21,0,24,0,"Woodson, Markisha J",3.23,A,0.84,Woodson
2022,Fall,CHLH,200,2,61,42,9,18,12,3,2,2,1,1,1,3,0,"Woodson, Markisha J",3.44,A-,0.64,Woodson
2022,Fall,CHLH,206,7,118,0,0,33,0,0,8,0,0,2,0,17,0,"Cole, Sara L",3.34,A,0.67,Cole
2022,Fall,CHLH,243,0,318,0,0,83,0,0,25,0,0,6,0,16,1,"Bazan, Christy N",3.52,A,0.65,Bazan
2022,Fall,CHLH,260,0,584,0,0,54,0,0,12,0,0,9,0,22,2,"Freehill, Ariel N",3.72,A,0.51,Freehill
2022,Fall,CHLH,274,57,98,57,24,35,19,12,10,0,0,5,0,10,1,"Taylor, Shaneil E",3.42,A-,0.65,Taylor
2022,Fall,CHP,199,23,34,4,1,1,0,0,0,0,0,0,0,0,0,"White, Zuri L",3.95,A,0.17,White
2022,Fall,CHP,199,25,31,0,0,3,0,0,0,0,0,0,0,1,1,"Fitzjarrald, Amy E",3.88,A,0.23,Fitzjarrald
2022,Fall,CHP,199,15,9,2,1,1,0,0,1,0,0,0,0,0,0,"Jackson, Lisa",3.85,A+,0.42,Jackson
2022,Fall,CI,405,53,38,0,0,4,0,0,1,0,0,0,0,1,0,"Latham, Nancy I",3.9,A+,0.28,Latham
2022,Fall,CI,406,0,18,1,0,0,0,2,0,0,0,0,0,0,0,"Wawire, Purity N",3.83,A,0.49,Wawire
2022,Fall,CI,415,0,25,1,0,0,1,1,1,0,0,0,0,0,0,"Lomax, Khalila",3.82,A,0.51,Lomax
2022,Fall,CI,430,0,18,4,1,1,1,0,2,0,0,0,0,0,0,"Poetzel, Adam R",3.69,A,0.58,Poetzel
2022,Fall,CI,430,0,66,0,1,2,0,0,1,0,0,0,0,0,0,"Altshuler, Mari R",3.93,A,0.3,Altshuler
