Subject,Number,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W
AIS,285,7,14,4,0,0,0,0,0,0,0,3,0,0,0
ANSC,100,19,295,5,21,134,0,13,56,0,1,8,0,4,3
ANSC,110,35,115,14,13,30,3,3,3,1,0,4,0,1,2
ANSC,207,721,1546,271,326,576,155,102,180,41,32,49,13,82,9
ANSC,250,329,1460,145,147,182,86,46,59,24,6,25,8,39,10
ANSC,306,12,186,13,22,38,5,2,6,0,0,1,0,1,0
ANSC,398,5,61,2,3,5,0,0,0,0,0,0,0,0,1
ANSC,422,0,191,0,0,87,0,0,33,0,0,17,0,6,1
ANSC,424,0,63,0,0,32,0,0,7,0,0,1,0,0,0
ANSC,526,0,22,0,0,20,0,0,0,0,0,0,0,1,0
ANTH,101,13,87,0,0,64,0,0,27,0,0,8,0,6,0
ANTH,102,56,185,104,132,173,84,68,70,31,13,35,8,47,3
ANTH,103,683,701,553,343,440,244,128,123,70,31,50,18,80,10
ANTH,104,53,66,66,39,27,8,9,5,2,3,1,2,5,1
ANTH,143,2728,3726,1662,723,1211,427,211,326,146,58,101,43,251,41
ANTH,220,14,56,53,25,36,36,13,14,2,1,4,0,7,1
ANTH,230,58,219,122,103,111,44,30,29,6,10,9,1,21,3
ANTH,246,573,2967,243,254,340,78,88,136,60,28,30,15,141,10
ANTH,268,5,15,9,10,14,6,4,4,1,0,0,1,2,1
ANTH,270,15,27,10,10,9,5,7,3,3,4,2,1,1,2
ARAB,150,41,32,17,13,10,9,3,9,2,4,2,3,13,1
ARAB,201,3,18,1,0,2,0,0,0,0,0,0,0,0,0
ARCH,101,38,22,29,18,11,13,4,3,2,1,0,2,7,1
ARCH,172,12,19,22,24,11,5,8,0,1,0,1,0,4,0
ARCH,199,515,220,193,112,127,11,1,23,3,0,6,0,46,8
ARCH,271,12,81,194,328,282,111,77,42,18,6,0,0,6,9
ARCH,272,0,4,22,38,28,10,8,0,0,0,1,0,1,1
ARCH,321,52,164,46,35,34,23,16,11,1,0,5,1,2,0
ARCH,351,16,27,32,43,34,13,15,15,0,1,0,0,0,1
ARCH,352,5,13,28,32,20,9,8,5,0,0,0,0,0,0
ARCH,373,1,21,71,50,24,11,0,0,1,2,0,0,0,1
ARCH,374,5,44,42,52,38,8,3,1,0,1,0,0,1,1
ARCH,451,20,41,28,21,17,14,11,9,5,0,1,1,2,0
ARCH,452,17,37,38,25,23,19,3,4,1,1,1,0,0,0
ART,102,13,32,11,11,2,0,1,0,0,0,0,0,0,0
ART,105,60,234,91,24,11,6,1,5,0,0,1,0,2,1
ART,140,8,21,4,3,3,0,1,0,0,0,0,0,3,0
ART,202,49,65,9,4,2,0,2,2,0,0,0,0,0,0
ART,299,13,69,50,8,20,3,1,1,0,0,0,0,1,0
ARTD,211,3,42,20,5,24,7,3,3,0,0,1,0,1,1
ARTD,218,82,56,25,13,10,11,2,2,3,1,1,1,6,1
