Subject,Number,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Primary Instructor
ACCY,201,38,52,51,21,32,21,7,4,6,0,2,0,0,0,"Schertz, Michael K"
ACCY,201,3,11,3,3,4,12,1,4,6,0,3,0,7,0,"Christiansen, Ryan S"
ACCY,201,10,23,17,7,8,7,3,1,2,0,0,0,0,0,"Patzik, Benjamin M"
ACCY,201,1,11,11,14,13,7,6,2,5,0,2,0,1,1,"McNamara, Sean M"
ACCY,201,10,10,20,7,8,7,3,0,0,0,3,0,1,2,"Koziel, Mark C"
ACCY,201,28,28,27,14,9,13,7,2,10,0,7,0,3,0,"Leman, Grant W"
ACCY,201,38,32,40,10,14,16,2,0,2,0,6,0,0,0,"Spread, Samuel C"
ACCY,201,9,16,15,14,6,7,6,0,2,0,0,0,0,1,"Sothikhoun, Alain R"
ACCY,201,3,6,19,17,14,7,7,3,4,0,0,0,0,1,"Doub, James D"
ACCY,201,6,11,9,6,4,7,5,2,2,0,0,0,4,2,"Kiesewetter, Nathalie A"
ACCY,201,10,12,20,10,6,5,1,4,2,0,3,0,2,0,"Storto, Joseph M"
ACCY,201,9,6,10,6,5,5,3,6,2,0,5,0,2,0,"Coady, Jennifer J"
ACCY,201,6,7,7,6,5,12,3,4,3,0,1,0,3,1,"Wojnarowski, Michelle L"
ACCY,201,1,5,13,20,9,11,8,4,3,0,3,0,1,0,"Zhao, Weiran"
ACCY,201,1,6,13,20,12,12,4,2,4,0,2,0,0,0,"Moradi, Maseeh"
ACCY,201,3,20,30,33,20,16,17,7,7,0,9,0,4,1,"Hennessy, James E"
ACCY,201,444,633,418,381,441,312,252,274,181,118,106,88,115,36,"Fisher, Mitchell B"
ACCY,201,11,12,16,14,12,4,3,2,1,0,0,0,0,0,"Siemienas, Lauren M"
ACCY,201,12,9,7,8,6,8,3,2,1,0,2,0,1,0,"Cantieri, Kristen E"
ACCY,201,25,26,30,20,11,12,8,0,2,0,4,0,0,0,"Davidson, Laura M"
ACCY,201,28,36,30,10,4,12,6,0,2,0,2,0,2,0,"Gilpin, Daniel J"
ACCY,201,16,18,28,16,15,17,4,17,5,0,9,0,6,1,"Sylvestri, Ross J"
ACCY,201,17,31,22,15,18,19,7,6,8,0,2,0,11,4,"Nagle, Amy E"
ACCY,201,12,34,18,16,14,20,8,6,4,0,2,0,14,1,"Schwarzhaupt, Michael C"
ACCY,201,8,14,17,4,9,9,5,1,4,0,5,0,4,0,"Valentine, Courtney M"
ACCY,201,24,48,35,19,10,11,9,1,2,0,1,0,1,0,"Peckler, Rachel L"
ACCY,201,10,11,20,9,6,9,7,1,2,0,4,0,4,2,"Waddock, Madeleine K"
ACCY,201,5,8,7,9,5,7,2,7,2,0,0,0,1,4,"Rallo, Tyler M"
ACCY,201,5,11,7,4,6,12,7,5,2,0,0,0,4,0,"Dieckman, Carissa M"
ACCY,201,21,25,23,11,19,15,7,11,10,0,13,0,8,1,"Gebhardt, Abbey L"
ACCY,201,0,10,20,15,19,12,6,1,1,0,6,0,4,0,"Sester, Mallory L"
ACCY,201,10,14,8,6,2,7,5,3,2,0,1,0,1,1,"Harris, Matthew C"
ACCY,201,14,39,22,18,17,8,6,4,4,0,0,0,14,2,"Ditman, Stephen M"
ACCY,201,2,7,15,21,8,13,7,2,1,0,2,0,1,1,"Pelella, Andrea E"
