Subject,Number,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Primary Instructor
CEE,598,4,11,2,3,3,0,0,0,0,0,0,0,0,0,"Barkan, Christopher P"
CEE,598,7,21,33,23,6,3,1,0,0,0,0,0,0,1,"Paulino, Glaucio H"
CEE,598,1,16,20,20,6,9,1,1,0,0,0,0,0,0,"Young, Brent D"
CHBE,221,0,24,6,12,14,2,14,10,1,0,5,0,1,1,"Higdon, Jonathan J"
CHBE,221,4,10,10,12,22,13,7,26,8,0,5,0,2,2,"Rogers, Simon"
CHBE,221,3,23,15,16,26,26,38,21,25,6,13,0,11,4,"Yang, Hong"
CHBE,431,5,23,25,22,51,16,23,18,8,4,1,0,1,0,"Vogel, Troy"
CHBE,494,3,11,3,2,11,4,1,5,2,0,1,0,1,0,"Mitrovski, Svetlana"
CHBE,494,0,35,10,4,29,2,2,6,1,0,0,0,0,0,"Kraft, Mary L"
CHBE,494,1,11,5,0,12,12,0,8,4,0,1,0,0,1,"Guironnet, Damien S"
CHBE,494,3,10,8,7,8,7,1,3,0,0,0,0,0,0,"Diao, Ying"
CHBE,494,3,5,4,5,9,3,1,0,0,0,0,0,0,0,"Peters, Baron G"
CHBE,494,1,15,2,1,17,0,1,7,0,0,2,0,0,0,"Schroeder, Charles M"
CHEM,101,5,128,57,111,145,110,95,94,36,14,31,8,16,3,"Adams, Gretchen"
CHEM,101,3,42,23,42,46,35,29,34,16,6,11,8,12,0,"Esbenshade, Jennifer L"
CHEM,101,5,51,30,46,49,44,25,32,20,5,3,3,5,5,"Richardson, Stacie L"
CHEM,101,2,47,25,55,53,52,33,33,32,3,3,4,3,3,"Sperling, Lindsay J"
CHEM,101,50,351,160,263,370,248,209,215,111,88,66,54,170,17,"Leveritt, John M"
CHEM,101,1,57,20,31,47,36,33,33,14,8,8,2,17,4,"Huynh, Mioy T"
CHEM,101,2,50,24,38,36,40,35,33,16,13,13,2,12,3,"Trinh, Brian"
CHEM,101,2,88,40,98,94,90,66,92,40,12,16,12,10,6,"Overcash, John W"
CHEM,101,6,49,40,79,128,90,85,113,65,44,36,28,39,5,"Andino Martinez, Jose G"
CHEM,101,46,275,142,226,288,190,185,198,108,63,55,32,127,13,"McCarren, Elise M"
CHEM,101,2,43,21,42,48,39,34,38,23,7,8,9,5,3,"Lindquist, Beth A"
CHEM,102,1,30,15,32,43,33,30,46,28,13,15,10,2,3,"Whitteck, Erin L"
CHEM,102,123,391,419,524,722,555,783,610,378,188,117,76,184,45,"Gunasekera, Mutha Merenna"
CHEM,102,81,577,532,811,927,673,839,830,672,291,300,206,216,59,"Huang, Tina H"
CHEM,102,138,562,374,524,755,600,590,828,541,322,343,299,281,83,"Marville, Kelly"
CHEM,102,2,23,19,25,46,52,38,63,27,20,10,7,9,3,"Nicely, Amy L"
CHEM,102,2,49,34,57,87,66,121,53,37,28,24,15,14,3,"Jamieson, Daniel"
CHEM,102,4,23,22,27,51,41,39,45,30,10,10,10,8,2,"Baranger, Anne"
CHEM,102,14,47,50,68,91,75,70,121,56,35,21,28,3,7,"Yerkes, Christine T"
CHEM,102,3,49,27,55,66,62,77,84,61,38,31,18,43,11,"Decoste, Donald J"
CHEM,102,19,146,85,158,247,173,166,234,159,64,104,31,18,9,"Overcash, John W"
CHEM,102,31,90,40,73,156,71,68,159,63,17,36,17,12,6,"Andino Martinez, Jose G"
CHEM,102,329,1082,606,1129,1846,1618,1789,1892,1110,659,508,359,439,109,"Hummel, Thomas J"
CHEM,102,28,54,26,34,62,22,12,60,8,18,20,6,4,4,"Shapley, Patricia A"
CHEM,103,0,142,18,14,10,6,5,3,0,0,2,1,3,1,"Steffensen, Elaine M"
CHEM,103,0,44,5,2,2,3,1,1,0,0,0,0,2,0,"Raghuraman, Vibhish"
CHEM,103,1,9,5,2,4,5,0,1,0,0,0,1,2,1,"Bhat, Sheila S"
CHEM,103,0,89,18,10,6,3,4,6,0,1,3,3,3,0,"Ali, Siraj Z"
CHEM,103,0,43,6,6,3,2,0,2,0,0,1,0,1,2,"Decoste, Donald J"
CHEM,103,62,56,13,10,9,3,2,4,0,0,2,0,3,0,"Davydovich, Oleg"
CHEM,103,0,118,28,46,20,6,12,8,2,0,0,2,8,2,"Sindoro, Melinda"
CHEM,103,0,180,26,23,13,5,4,1,1,0,2,0,12,1,"Miao, Yurun"
CHEM,103,45,58,29,11,3,3,3,3,2,0,0,0,4,1,"Bandas-Rivera, Christophe"
CHEM,103,0,72,10,10,6,2,4,3,0,0,2,0,4,0,"Seymour, Craig H"
CHEM,103,38,49,17,6,2,4,3,2,1,0,3,0,3,0,"Brubaker, Riley J"
CHEM,103,0,90,12,6,5,1,3,2,0,0,2,0,2,0,"Kulkarni, Prathamesh K"
CHEM,103,0,154,38,66,52,20,14,10,2,6,8,2,14,2,"Rankin, Kory M"
CHEM,103,17,138,24,14,9,7,1,4,3,0,3,0,3,1,"Okumura, Mikiko"
CHEM,103,11,7,2,1,0,1,0,0,0,0,0,0,1,0,"Patel, Manish J"
CHEM,103,0,232,43,10,7,10,3,3,1,1,1,1,7,0,"Anderson, Mikayla A"
CHEM,103,2,42,67,32,53,12,12,14,3,4,4,0,3,0,"Paddock, Brett M"
CHEM,103,5,30,6,9,1,0,2,0,1,0,0,0,1,0,"Miller, Justin"
CHEM,103,0,84,15,10,3,2,2,3,0,0,0,0,2,0,"Cheng, Kevin"
CHEM,103,15,53,17,5,6,3,2,1,2,1,2,0,1,0,"Singh, Devashish"
CHEM,103,73,55,13,3,11,2,2,2,1,1,0,0,4,0,"Xue, Tianrui"
CHEM,103,0,167,32,12,16,8,4,2,0,0,1,2,2,2,"Lee, SuHak"
CHEM,103,0,214,39,30,24,11,7,7,3,1,6,0,8,3,"Kim, Hyo Na"
CHEM,103,2,112,58,70,46,24,24,10,4,0,4,0,4,2,"Bai, Yugang"
CHEM,103,53,28,6,4,3,2,2,2,3,0,0,0,1,1,"Brown, Tiara L"
CHEM,103,30,12,5,3,5,0,0,0,0,0,0,1,1,0,"Newman, Katerina E"
CHEM,103,1,360,68,39,33,15,14,6,4,2,2,2,11,2,"Jackson, Bailey J"
CHEM,103,38,179,47,26,20,3,11,5,3,3,1,0,5,1,"Gibson, Cory K"
CHEM,103,0,307,52,28,17,3,8,15,4,0,5,2,13,3,"Lee, Juyeon"
CHEM,103,0,13,21,14,22,5,2,5,0,0,0,3,4,0,"Li, Xuan"
CHEM,103,17,20,6,2,3,1,0,1,1,0,1,0,1,1,"Suseno, Gary A"
CHEM,103,45,55,26,14,10,6,4,1,3,4,5,2,5,0,"Zhang, Zhiwei"
CHEM,103,0,14,7,0,1,4,0,0,0,0,0,0,1,0,"Kapoor, Iti"
CHEM,103,0,335,67,26,21,19,9,9,3,2,5,0,10,0,"Hitt, Tracey A"
CHEM,103,12,68,60,33,32,14,9,2,2,1,2,1,8,0,"Vigneswaran, Hari T"
CHEM,103,0,31,55,51,22,7,1,8,2,0,0,4,0,1,"Xu, Lu"
CHEM,103,53,26,13,2,4,3,3,4,0,0,1,0,1,0,"Raja, Sabina M"
CHEM,103,51,437,69,44,39,15,14,13,4,4,3,1,9,2,"Tian, Shiliang"
CHEM,103,29,143,32,28,15,16,9,6,3,3,4,0,7,1,"Chen, Junfeng"
CHEM,103,77,36,6,8,3,2,1,2,0,0,0,0,2,0,"Suh, Lois Y"
CHEM,103,8,34,26,9,17,8,2,10,3,1,2,1,0,1,"Zhang, Wendy"
CHEM,103,33,30,8,5,3,1,0,1,0,0,0,0,0,0,"Edwards, Marcus M"
CHEM,103,21,19,7,6,6,4,2,2,0,1,1,0,4,0,"Zhang, Jiabao"
CHEM,103,0,38,30,18,15,9,1,2,3,0,2,2,2,0,"Rubin, Nicholas C"
CHEM,103,0,27,44,17,21,10,4,1,1,0,1,2,0,0,"Grych, Dave A"
CHEM,103,0,76,20,5,3,5,2,4,2,0,1,0,2,0,"Gross, Jeffrey N"
CHEM,103,0,52,12,6,5,2,3,2,0,1,1,0,1,0,"Curtin, Evan M"
CHEM,103,35,40,11,10,3,5,1,4,2,1,0,1,0,0,"Lao, Kathleen C"
CHEM,103,0,77,14,9,9,5,0,1,2,0,2,1,5,0,"Jones, Cameron L"
CHEM,103,4,51,60,43,36,15,12,9,4,4,5,2,3,0,"Muller, Neal W"
CHEM,103,76,45,13,5,8,4,2,1,0,1,0,1,3,1,"Krumov, Mihail R"
CHEM,103,0,60,15,13,6,8,2,3,1,2,3,2,6,0,"Ghosh, Ashesh"
CHEM,103,0,87,7,8,10,3,2,2,2,0,1,0,2,0,"Nalla, Siva"
CHEM,103,58,62,30,16,15,3,5,1,0,2,4,0,9,1,"Smaga, Lukas P"
CHEM,103,1,326,45,34,21,14,11,5,3,1,1,2,10,0,"Nguyen, Yen H"
CHEM,103,5,14,12,10,6,6,2,0,2,0,0,0,2,0,"Barnas, Alexander T"
CHEM,103,0,178,33,11,12,1,6,1,2,2,2,1,5,2,"Liu, Wei"
CHEM,103,2,315,62,39,23,12,6,5,10,2,4,1,8,1,"Wang, Kwo-Kwang A"
CHEM,103,56,45,14,10,8,1,0,3,1,0,0,1,1,0,"Chheda, Monish L"
CHEM,103,162,199,77,29,36,10,14,12,8,2,5,1,13,2,"Gunasekera, Mutha Merenna"
CHEM,103,46,52,16,17,9,6,2,2,1,0,1,0,1,0,"He, Chang"
CHEM,103,3,15,15,13,10,2,3,1,1,0,0,0,3,0,"Jaglan, Sonam"
CHEM,103,0,82,38,42,28,10,16,14,2,6,2,0,4,0,"Park, David H"
CHEM,103,0,137,12,8,4,2,5,2,1,1,1,2,5,0,"Graca, Sebastian P"
CHEM,103,1,19,12,11,3,7,3,0,0,0,0,1,1,0,"Rodrigues, Benjamin V"
CHEM,103,53,101,37,18,13,9,5,5,4,2,0,3,12,2,"Tir, Vincent L"
CHEM,103,1,115,19,11,10,8,4,4,3,1,0,0,6,1,"Li, Ji"
CHEM,103,4,72,22,56,36,14,4,12,4,0,6,0,4,0,"Shaw, William L"
CHEM,103,0,73,15,7,8,5,2,0,1,1,2,2,2,0,"An, Linna"
CHEM,103,76,52,22,10,7,1,4,2,1,0,1,0,4,2,"Liao, Can H"
CHEM,103,70,83,27,14,13,10,4,5,1,0,0,2,4,0,"Sotelo, Anthony"
CHEM,103,12,61,49,52,29,18,11,7,2,2,2,1,5,0,"Patel, Avani N"
CHEM,103,72,29,17,6,6,3,1,2,2,0,0,1,0,0,"Pang, Weilun"
CHEM,103,0,184,38,13,11,2,10,7,4,3,0,1,7,0,"Gastouniotis, Constantine"
CHEM,103,8,34,24,24,13,8,10,0,0,0,1,0,5,0,"Soni, Foram G"
CHEM,103,72,56,17,12,12,2,2,2,0,0,0,0,2,0,"Varghese, Jeffrey A"
CHEM,103,18,121,29,18,17,8,1,5,2,5,2,2,1,1,"Li, Hao"
CHEM,103,34,60,24,7,4,2,5,1,1,0,0,1,4,1,"Delaney, Connor P"
CHEM,103,9,47,30,19,30,14,4,13,5,0,4,1,5,1,"Tylka, Barbara K"
CHEM,103,51,61,23,10,10,8,6,3,1,0,2,0,6,0,"Yang, Woojin"
CHEM,103,6,74,30,36,38,8,16,4,6,10,0,0,4,2,"Giuliano Nicola, Bruno"
CHEM,103,1,26,32,18,12,8,5,4,5,4,2,0,3,1,"Yasui, Norio"
CHEM,103,0,164,24,9,22,4,0,0,0,3,3,0,1,1,"Harnden, Kevin A"
CHEM,103,4,152,76,110,66,22,22,16,6,8,4,0,12,4,"Xu, Yangfan"
CHEM,103,53,43,5,12,5,1,2,1,0,1,0,3,4,0,"Li, Ke"
CHEM,103,60,32,13,10,12,5,2,2,1,2,1,0,1,0,"Dahodwala, Mohsin G"
CHEM,103,62,20,12,2,5,3,0,1,0,0,0,0,1,0,"Bhatti, Muhammed A"
CHEM,103,57,96,29,19,16,11,3,3,5,0,1,1,6,2,"Lytle, Tyler"
CHEM,103,0,79,15,9,6,3,4,1,2,3,0,0,2,0,"He, Junwen"
CHEM,103,66,62,24,7,4,5,1,2,2,3,2,0,4,0,"Cui, Chang"
CHEM,103,0,38,12,2,6,4,1,0,1,0,0,0,1,0,"Feng, Ruopei"
CHEM,103,54,17,14,7,4,1,1,2,0,1,0,2,0,0,"Chu, Yueh-Te"
CHEM,103,70,47,21,9,5,4,1,1,1,0,0,0,3,0,"Hagler, Brittany D"
CHEM,103,1,39,38,25,14,4,2,1,1,0,0,0,0,1,"Rose, Thomas J"
CHEM,103,44,41,9,12,13,3,3,0,1,1,1,1,2,1,"Yoakum, Daniel M"
CHEM,103,39,51,15,9,11,6,8,1,3,2,1,0,2,0,"Simons, Claire L"
CHEM,103,0,20,3,1,2,0,0,0,1,0,0,0,0,0,"Yang, Ning"
CHEM,103,0,38,40,16,10,5,2,3,1,0,0,0,1,0,"Endo, Matthew M"
CHEM,103,0,14,5,2,2,1,1,0,0,0,0,1,0,0,"Strzepka, Jessica T"
CHEM,103,0,105,18,11,10,3,4,5,1,0,0,0,11,0,"Ha, Yeyoung"
CHEM,103,24,234,146,110,97,34,34,39,12,5,7,5,24,7,"Wang, Yang"
CHEM,103,29,28,12,6,3,1,1,0,1,0,0,0,2,0,"Joulani, Dana A"
CHEM,103,0,180,13,13,7,3,6,7,1,1,0,1,6,0,"O Connor, Samantha N"
CHEM,103,8,79,87,53,35,19,8,6,3,4,2,0,8,2,"Sharma, Avishkar"
CHEM,103,0,33,6,5,1,3,0,2,0,0,2,0,1,1,"Nugent, Aimee J"
CHEM,103,0,19,7,2,2,1,1,0,0,0,0,0,0,1,"Papadopoulos, Theodore"
CHEM,103,46,26,12,5,1,4,1,0,0,1,1,0,1,1,"Abunada, Ibrahim Y"
CHEM,103,0,35,8,1,8,3,2,5,0,0,0,0,3,0,"Nguyen, Arleen K"
CHEM,103,18,16,3,2,3,1,0,0,1,0,0,0,1,1,"Yoon, Young Hee"
CHEM,103,227,166,62,19,30,9,6,2,3,2,1,0,10,2,"Fuerste, Wade C"
CHEM,103,0,64,22,11,8,0,1,2,2,0,0,1,1,0,"Wickstrom, Erika R"
CHEM,103,43,75,22,13,4,3,4,3,0,1,0,0,1,0,"Weigle, Austin T"
CHEM,103,20,17,5,2,2,1,1,0,1,0,0,1,0,0,"Vallapurackal, Ashley J"
CHEM,103,60,22,7,8,6,3,0,1,0,0,1,0,2,0,"Cadavillo, Nicole V"
CHEM,103,17,25,4,3,5,2,0,0,0,1,0,0,5,0,"Shen, Chengtian"
CHEM,103,3,31,32,15,20,7,1,5,3,2,1,3,0,1,"Salnave, Christopher R"
CHEM,103,2,13,4,1,1,0,0,0,0,1,0,0,0,1,"Duong, Kevin"
CHEM,103,4,50,62,43,37,18,8,11,6,1,1,0,4,1,"Hall, Elise M"
CHEM,103,4,140,62,98,52,32,22,6,4,10,0,2,14,2,"Tse, Chun Ming Edmun"
CHEM,103,189,82,43,22,15,9,4,3,1,3,0,1,5,1,"Aghajani, Ali Asghar"
CHEM,103,0,126,22,12,3,4,3,2,0,1,0,0,2,0,"Zaki, Omar A"
CHEM,103,33,12,6,2,1,1,0,0,0,0,0,0,2,0,"Nawa, Emilee A"
CHEM,103,0,151,22,17,12,1,3,5,0,0,0,0,3,1,"Ghosh, Archit K"
CHEM,103,19,21,5,4,2,0,0,0,1,0,0,0,0,0,"Li, Jingyu"
CHEM,103,89,63,21,12,13,7,1,7,2,0,0,0,2,0,"Deutscher, Wesley A"
CHEM,103,98,81,17,10,8,1,1,1,2,1,0,0,2,0,"Muhammad, Safiyah R"
CHEM,103,0,182,39,20,16,5,6,6,3,4,1,2,6,2,"Wu, Zhao"
CHEM,103,57,80,26,24,21,10,3,4,4,4,3,1,5,0,"Wang, Andrew"
CHEM,103,6,156,52,90,66,28,30,20,8,10,4,2,10,2,"Zarkhah, Araz G"
CHEM,103,20,39,9,5,3,0,2,1,0,0,1,0,0,0,"Farooqi, Samee"
CHEM,103,14,18,4,3,4,2,1,1,0,0,0,0,1,0,"Namkoong, Myeong"
CHEM,103,6,166,60,66,72,30,32,22,2,8,4,0,20,2,"Pasquini, Marissa A"
CHEM,103,0,32,9,3,4,2,0,4,2,0,3,0,2,2,"Loh, Kang Yong"
CHEM,103,0,112,22,7,12,3,2,5,2,0,1,0,4,0,"Sul, Amanda"
CHEM,103,51,47,8,9,6,2,4,1,2,0,0,1,1,1,"Ibrahim, George A"
CHEM,103,2,94,30,40,38,8,14,8,6,2,0,2,4,0,"Karns, Krysten M"
CHEM,103,0,33,9,2,6,4,0,1,1,0,0,1,0,0,"Satyavolu, Nitya Sai Redd"
CHEM,103,31,68,19,16,11,2,4,3,2,3,3,1,5,2,"Goldsmith, Zachary K"
CHEM,103,3,36,32,55,53,27,18,6,4,4,2,3,11,1,"Palmer, Natalie A"
CHEM,103,0,102,10,6,3,4,1,1,0,1,0,0,2,0,"Phung, Dinh P"
CHEM,104,602,1045,884,1233,1681,1191,1316,1647,1198,338,319,225,188,102,"Ray, Christian R"
CHEM,104,47,173,126,149,212,161,176,194,149,121,124,85,62,16,"Marville, Kelly"
CHEM,104,14,27,34,42,56,67,64,58,48,32,19,3,10,5,"Jamieson, Daniel"
CHEM,104,26,77,94,77,144,70,106,72,51,35,17,15,11,5,"Yerkes, Christine T"
CHEM,104,4,5,7,8,13,10,11,15,8,3,1,2,5,0,"Kim, Yery"
CHEM,104,11,84,59,72,99,63,104,49,41,11,22,2,20,5,"Decoste, Donald J"
CHEM,104,135,537,400,413,712,429,352,546,340,129,143,123,90,21,"Andino Martinez, Jose G"
CHEM,104,7,31,16,24,51,22,16,55,15,3,3,0,3,1,"Shapley, Patricia A"
CHEM,105,0,4,21,19,32,8,9,11,8,0,1,0,3,0,"Bhat, Sheila S"
CHEM,105,115,90,31,18,13,4,3,10,1,2,0,0,4,1,"Ali, Siraj Z"
CHEM,105,3,143,52,39,57,42,29,17,9,2,6,0,4,2,"Kramer, Colin B"
CHEM,105,2,49,20,7,17,4,3,2,2,0,1,1,0,1,"Decoste, Donald J"
CHEM,105,3,19,18,22,21,13,12,8,0,0,2,1,3,0,"Bartels, Steven A"
CHEM,105,8,20,11,6,1,1,1,2,1,0,0,0,1,0,"Nelson, Brett P"
CHEM,105,6,47,39,28,37,13,9,9,3,1,2,1,4,1,"Denton, Jillian M"
CHEM,105,0,84,15,8,5,0,0,1,0,0,0,0,2,0,"Adiputra, Andrew"
CHEM,105,54,194,36,15,12,7,2,1,1,1,0,0,3,0,"Mahan, Reiana J"
CHEM,105,1,89,11,4,5,6,0,2,1,1,0,1,1,0,"Liu, Yao-Min"
CHEM,105,16,212,39,37,18,7,9,5,3,3,0,1,4,1,"Hu, Pingfan"
CHEM,105,1,15,10,8,14,4,2,2,1,0,0,1,0,0,"Tischhauser, Sara M"
CHEM,105,57,60,14,16,8,5,4,1,0,0,0,0,1,1,"Dykstra, Conner"
CHEM,105,0,80,3,2,0,0,0,1,0,0,0,0,0,0,"Wang, Jiachen"
CHEM,105,7,29,38,23,14,6,2,2,1,1,1,0,1,0,"Zhang, Dawen"
CHEM,105,1,42,33,31,29,15,9,6,1,0,0,1,5,1,"Yung, Margaret L"
CHEM,105,0,45,5,2,2,1,0,0,0,0,0,0,1,0,"Li, Xinyi"
CHEM,105,10,100,53,43,51,19,16,14,3,4,1,2,7,0,"Bai, Yugang"
CHEM,105,5,33,9,1,2,2,0,0,1,1,0,0,0,0,"Blaha, Dylan T"
CHEM,105,0,43,3,5,1,0,1,1,1,0,0,0,1,0,"Kravchuk, Valeriya"
CHEM,105,42,197,21,10,7,3,3,3,0,0,2,0,1,0,"Devasia, Dinumol"
CHEM,105,0,93,19,9,11,3,4,1,0,1,0,0,3,0,"Barnes, Megan E"
CHEM,105,8,20,7,3,6,1,5,2,0,1,0,0,2,0,"Biondo, James F"
CHEM,105,0,122,35,67,40,15,40,12,2,0,12,0,8,0,"Desai, Shalin C"
CHEM,105,0,39,3,5,3,0,4,1,1,0,0,0,0,0,"Zhang, Zhiwei"
CHEM,105,2,209,39,14,7,7,3,3,0,1,1,0,2,0,"Kapoor, Iti"
CHEM,105,41,17,4,2,4,2,1,0,2,1,1,0,0,1,"Singh, Jasleena K"
CHEM,105,2,250,54,58,68,44,18,20,12,1,7,0,4,4,"Bhagi, Ambika"
CHEM,105,0,149,22,12,10,4,3,1,1,1,0,1,2,1,"Ma, Rulin"
CHEM,105,0,156,25,12,8,1,1,3,0,0,2,0,7,0,"Tian, Shiliang"
CHEM,105,449,146,71,32,33,16,10,2,2,4,2,1,7,0,"Marville, Kelly"
CHEM,105,2,25,37,15,21,3,3,0,0,2,2,0,0,0,"Wang, Wei"
CHEM,105,0,51,1,1,1,0,1,1,0,0,0,0,0,0,"Edwards, Marcus M"
CHEM,105,0,13,22,23,48,20,16,12,5,3,7,2,2,0,"Ryan, Patrick M"
CHEM,105,0,85,11,9,3,4,2,1,1,0,0,0,0,0,"Lao, Kathleen C"
CHEM,105,0,78,19,4,7,2,1,2,1,0,0,1,3,0,"Fudala, Pawel"
CHEM,105,5,39,20,14,23,9,1,4,2,1,2,0,1,0,"Muller, Neal W"
CHEM,105,0,39,8,3,4,3,1,0,0,0,0,0,0,0,"Feng, Sally"
CHEM,105,0,84,14,5,3,3,0,2,2,2,0,1,0,0,"Nalla, Siva"
CHEM,105,0,158,33,12,8,2,4,1,1,2,0,0,4,0,"Smaga, Lukas P"
CHEM,105,0,86,9,3,6,2,2,2,0,0,0,1,2,0,"Shari'ati, Yusef A"
CHEM,105,0,85,11,5,5,2,2,2,0,0,0,1,1,0,"Wyllie, Ryan M"
CHEM,105,48,38,14,4,2,3,2,2,0,0,0,0,0,0,"Wang, Kwo-Kwang A"
CHEM,105,18,191,54,26,28,9,1,8,3,2,0,1,1,0,"Liu, Huiying"
CHEM,105,0,71,5,4,2,1,1,1,0,0,1,0,1,0,"Patel, Sohum K"
CHEM,105,2,44,54,27,31,14,7,4,2,2,1,5,2,1,"Tan, Li Huey"
CHEM,105,73,39,18,13,10,6,1,1,5,0,0,1,1,0,"He, Chang"
CHEM,105,1,15,34,12,19,9,5,2,1,1,0,2,1,0,"Yang, Jie An"
CHEM,105,3,15,38,24,11,5,7,3,2,2,0,1,0,0,"Wilkinson, Shawn L"
CHEM,105,5,38,26,20,17,13,8,8,3,0,2,0,1,0,"Rodrigues, Benjamin V"
CHEM,105,5,406,77,57,51,26,14,15,9,2,11,1,9,1,"Li, Ji"
CHEM,105,0,8,12,18,24,4,8,14,0,0,8,0,6,2,"Parikh, Manas P"
CHEM,105,20,28,6,5,2,0,0,0,0,0,0,0,0,0,"Liao, Can H"
CHEM,105,0,111,12,7,4,5,2,0,0,1,2,0,4,0,"Schwandt, William F"
CHEM,105,0,38,11,2,3,0,1,0,1,1,0,0,1,0,"Wegner, Andrew T"
CHEM,105,0,69,4,1,4,1,1,1,1,0,1,0,2,0,"Dahodwala, Mohsin G"
CHEM,105,0,157,25,13,11,2,3,3,0,0,0,0,4,1,"Salim, Michael A"
CHEM,105,14,9,4,0,1,1,0,0,0,0,0,0,1,0,"Andino Martinez, Jose G"
CHEM,105,0,42,6,5,2,2,1,0,0,0,0,0,1,0,"Li, Zheng"
CHEM,105,0,247,42,19,18,6,5,5,2,1,1,0,1,0,"Cui, Chang"
CHEM,105,51,48,8,6,3,1,1,0,0,1,0,0,1,0,"Klauck, Ashley L"
CHEM,105,6,30,37,12,14,7,9,1,0,1,0,0,1,0,"Huang, Jingyu"
CHEM,105,0,204,4,6,2,0,1,1,3,2,0,0,2,1,"Mensah, Danielle"
CHEM,105,10,52,34,64,74,32,46,16,4,0,20,0,8,2,"Johnson, Joel S"
CHEM,105,0,123,16,13,9,2,1,2,5,0,1,0,3,1,"Tokmic, Kenan"
CHEM,105,19,39,8,5,6,3,4,1,0,1,0,0,1,0,"Barrick, Samantha K"
CHEM,105,4,36,21,10,20,10,4,10,3,1,0,0,2,1,"Yao, Yuan"
CHEM,105,0,120,2,5,2,1,1,1,0,0,0,0,2,1,"Daly, Connor I"
CHEM,105,0,15,21,25,35,19,20,19,6,0,5,0,6,0,"Dickens, John D"
CHEM,105,7,46,24,11,13,6,2,3,1,1,1,1,1,0,"Ahmed, Maaz S"
CHEM,105,3,28,57,14,35,6,12,5,1,3,1,5,2,2,"Li, Ying"
CHEM,105,37,8,8,1,1,0,1,0,0,0,0,0,0,0,"Kim, Yery"
CHEM,105,0,47,4,4,4,0,0,0,0,0,0,0,0,0,"Nawa, Emilee A"
CHEM,105,42,38,13,10,6,0,1,0,2,1,0,1,1,1,"Strasser, Caitlyn E"
CHEM,105,2,28,29,17,14,13,8,2,2,1,3,1,1,0,"Mishra, Tripta P"
CHEM,105,0,9,24,31,40,18,10,12,6,8,4,1,4,1,"Kim, Andrew Y"
CHEM,105,34,44,13,8,3,3,2,1,1,1,0,1,2,0,"Vora, Irfan A"
CHEM,105,4,74,29,15,12,6,2,2,5,1,0,1,5,0,"Nakamata Huynh, Stephanie"
CHEM,105,0,105,8,3,6,4,1,0,0,1,0,0,1,0,"Muhammad, Safiyah R"
CHEM,105,0,125,25,9,5,2,1,0,0,0,1,0,0,0,"Killion, Jack A"
CHEM,105,0,30,10,2,0,5,0,1,0,0,0,0,1,1,"Brubaker, Clinton C"
CHEM,105,2,48,26,56,60,8,18,10,2,0,10,0,2,2,"Patel, Dhara R"
CHEM,105,0,45,4,3,2,0,1,1,0,0,0,0,1,0,"Rosenberg, Benjamin J"
CHEM,105,0,141,4,5,1,2,1,0,0,0,0,0,1,0,"Baig, Noman"
CHEM,105,0,182,5,6,3,1,3,1,1,0,0,0,1,0,"Wang, Yiming"
CHEM,105,6,42,34,74,52,14,46,18,10,0,4,0,8,2,"Shin, Hyunjin"
CHEM,105,130,118,32,20,16,10,5,3,2,1,2,1,5,0,"Shin, Minjeong"
CHEM,150,40,19,4,2,2,0,0,0,0,0,0,0,0,0,"Powers, Kimberly"
CHEM,199,9,10,0,0,1,0,0,1,0,0,0,1,1,0,"Powers, Kimberly"
CHEM,199,133,1965,49,24,43,9,6,8,2,1,7,0,7,15,"Adams, Gretchen"
CHEM,199,21,10,0,0,0,0,0,1,0,0,0,0,0,0,"Spinner, David T"
CHEM,199,1,16,3,0,0,1,0,0,0,0,0,0,0,0,"Santa Maria, Peter J"
CHEM,199,693,2376,106,35,42,25,3,14,8,1,6,4,27,13,"McCarren, Elise M"
CHEM,203,12,81,176,213,157,65,28,5,6,0,0,0,14,3,"Boulatov, Roman"
CHEM,203,17,36,20,33,45,27,18,19,17,3,10,2,3,0,"Oldfield, Eric"
CHEM,203,10,39,19,30,52,30,20,35,12,9,11,5,6,0,"Overcash, John W"
CHEM,203,62,227,151,131,180,120,43,54,19,14,12,14,29,5,"Andino Martinez, Jose G"
CHEM,203,36,141,64,72,215,46,33,112,30,4,2,0,29,7,"Vura-Weis, Joshua"
CHEM,205,14,31,18,24,36,21,11,23,8,1,9,0,5,0,"Ray, Christian R"
CHEM,205,34,201,161,181,124,58,58,35,24,10,6,13,29,7,"Huang, Tina H"
CHEM,205,6,25,12,21,39,22,11,17,16,2,6,4,2,1,"Oldfield, Eric"
CHEM,205,7,28,11,14,56,8,22,23,9,2,1,1,5,1,"Llewellyn, Nicholas"
CHEM,205,8,64,43,50,105,44,28,39,18,6,12,6,8,3,"Overcash, John W"
CHEM,232,313,850,610,553,955,625,486,653,331,217,178,45,144,79,"Axelson, Jordan C"
CHEM,232,15,26,9,16,28,12,4,14,6,0,4,0,0,0,"Moore, Jeffrey S"
CHEM,232,181,457,428,539,902,642,693,652,323,205,159,47,77,38,"Llewellyn, Nicholas"
CHEM,232,19,42,13,31,58,11,7,23,4,3,4,2,4,2,"Zavala, Jose"
CHEM,232,40,159,74,100,296,156,154,296,117,88,167,43,87,27,"Kell, David A"
